time,value,error
56949.036,3.23697507842E-14,6.1113809453E-16
56952.553,3.35845362516E-14,6.1113809453E-16
56957.143,3.68247117274E-14,6.1113809453E-16
56966.739,3.45254506316E-14,6.1113809453E-16
56973.612,3.23697507842E-14,6.1113809453E-16
56981.39,3.48449106931E-14,6.1113809453E-16
56989.381,3.06294610962E-14,6.1113809453E-16
56997.107,2.97947232471E-14,6.1113809453E-16
57005.499,3.14875852097E-14,6.1113809453E-16
57013.967,3.51673266821E-14,6.1113809453E-16
57021.35,3.35845362516E-14,6.1113809453E-16
57029.532,2.92509082607E-14,6.1113809453E-16
57037.595,2.89827343218E-14,6.1113809453E-16
57045.119,2.89827343218E-14,6.1113809453E-16
57053.965,3.20729831252E-14,6.1113809453E-16
57061.954,3.61525849907E-14,6.1113809453E-16
57165.626,3.54927259495E-14,6.1113809453E-16
57173.681,3.6487100741E-14,6.1113809453E-16
57181.321,3.14875852097E-14,6.1113809453E-16
57192.104,3.58211360992E-14,6.1113809453E-16
57206.213,3.26692644005E-14,6.1113809453E-16
57212.367,3.23697507842E-14,6.1113809453E-16
57221.045,3.61525849907E-14,6.1113809453E-16
57229.793,3.45254506316E-14,6.1113809453E-16
57257.416,3.20729831252E-14,6.1113809453E-16
57260.476,3.23697507842E-14,6.1113809453E-16
57264.075,3.06294610962E-14,6.1113809453E-16
57273.688,3.14875852097E-14,6.1113809453E-16
57281.632,3.6487100741E-14,6.1113809453E-16
57289.601,3.42089193976E-14,6.1113809453E-16
57297.719,3.29715493823E-14,6.1113809453E-16
57305.361,3.06294610962E-14,6.1113809453E-16
57313.159,3.20729831252E-14,6.1113809453E-16
57322.331,2.76782964E-14,6.1113809453E-16
57329.767,2.79344005233E-14,6.1113809453E-16
57350.377,2.74245402533E-14,6.1113809453E-16
57358.583,2.41067883964E-14,6.1113809453E-16
57361.218,2.3666789921E-14,6.1113809453E-16
57365.272,2.38857760319E-14,6.1113809453E-16
57369.838,2.34498114867E-14,6.1113809453E-16
57373.926,2.43298457631E-14,6.1113809453E-16
57377.839,2.28107390218E-14,6.1113809453E-16
57381.162,2.06129123123E-14,6.1113809453E-16
57385.428,1.96851784345E-14,6.1113809453E-16
57387.405,1.9867323148E-14,6.05535146801E-16
57389.131,1.96851784345E-14,6.1113809453E-16
57391.171,1.93258834361E-14,6.1113809453E-16
57393.82,2.00511532257E-14,6.1113809453E-16
57394.191,1.96851784345E-14,6.1113809453E-16
57397.711,1.87991994595E-14,6.1113809453E-16
57401.432,1.77885011325E-14,6.1113809453E-16
57409.045,1.82868690835E-14,6.1113809453E-16
57417.431,1.71450736783E-14,6.1113809453E-16
57425.177,1.74638243962E-14,6.1113809453E-16
57432.149,1.9867323148E-14,6.1113809453E-16
57529.435,2.28107390218E-14,6.1113809453E-16
57533.247,2.50114779753E-14,6.1113809453E-16
57536.568,2.50114779753E-14,6.1113809453E-16
57541.792,2.64325678557E-14,6.1113809453E-16
57544.65,2.54764760682E-14,6.1113809453E-16
57546.406,2.38857760319E-14,6.1113809453E-16
57549.068,2.4782171367E-14,6.1113809453E-16
57553.922,2.30218041913E-14,6.1113809453E-16
57557.424,2.0996134964E-14,6.1113809453E-16
57561.761,1.95047036339E-14,6.1113809453E-16
57565.683,2.13864822568E-14,6.1113809453E-16
57569.306,2.32348223228E-14,6.1113809453E-16
57573.794,2.34498114867E-14,6.1113809453E-16
57577.05,2.34498114867E-14,6.1113809453E-16
57585.751,2.38857760319E-14,6.1113809453E-16
57592.859,2.5950119121E-14,6.1113809453E-16
57601.103,2.23943961134E-14,6.1113809453E-16
57609.709,2.15843689407E-14,6.1113809453E-16
57622.561,2.08036412416E-14,6.1113809453E-16
57625.63,2.0996134964E-14,6.1113809453E-16
57630.269,2.17840866475E-14,6.1113809453E-16
57637.985,2.11904098089E-14,6.1113809453E-16
57640.703,2.17840866475E-14,6.1113809453E-16
57649.614,2.54764760682E-14,6.1113809453E-16
57657.307,1.9867323148E-14,6.1113809453E-16
57665.556,3.0070410427E-14,6.1113809453E-16
57668.883,2.76782964E-14,6.1113809453E-16
57673.007,2.5950119121E-14,6.1113809453E-16
57681.112,2.79344005233E-14,6.1113809453E-16
57689.537,3.06294610962E-14,6.1113809453E-16
57697.506,3.06294610962E-14,6.1113809453E-16
57705.683,2.8192874349E-14,6.1113809453E-16
57713.469,2.64325678557E-14,6.1113809453E-16
57724.624,2.76782964E-14,6.1113809453E-16
57729.884,2.95215635825E-14,6.1113809453E-16
57737.848,3.09128720103E-14,6.1113809453E-16
57742.235,3.09128720103E-14,6.1113809453E-16
57745.415,2.97947232471E-14,6.1113809453E-16
57753.653,3.06294610962E-14,6.1113809453E-16
57761.36,3.11989052933E-14,6.1113809453E-16
